e  	0.02597509362323104
n  	0.02451367821158575
t  	0.018316886158156725
s  	0.014603084435134157
  t	0.013380064959406263
en 	0.012774023233095802
r  	0.011964811202592856
  i	0.011039682720949608
  a	0.010968253004975694
d  	0.009755124901075418
  m	0.009529897935896023
  d	0.009519472186079734
  o	0.009351356757262874
  w	0.009248337134420687
  h	0.009229871261438734
  e	0.00764008198288484
  s	0.007637337835222872
 th	0.007358825974165664
  b	0.006760742382348548
  n	0.006721957886417826
k  	0.006447011090506816
the	0.006075542637459714
er 	0.0059078010459522184
l  	0.005640077675334069
g  	0.00561515682061609
  v	0.005557005924967988
  g	0.005407066380762894
he 	0.0053226707150430316
et 	0.0050050508371349365
a  	0.004527435325135434
y  	0.004327156786592833
f  	0.0042088686302781024
  p	0.004193623325307573
 he	0.004176389046523943
an 	0.004162959284611663
  l	0.004065340945749425
o  	0.0040271923565013265
  j	0.004012301101918776
  c	0.003961735351222699
 in	0.0037671519222525936
  f	0.0036736697883154724
  z	0.003604524031903245
at 	0.0035476111083048768
nd 	0.0033990406709500424
and	0.003307228352502378
  k	0.0033033445032709993
is 	0.003213987498533554
in 	0.003210033834863434
 of	0.003163878703734513
ik 	0.0031195965922409395
 we	0.0030748189806617363
 ik	0.0030616139867363458
 me	0.0030589447452852485
 be	0.003007403378046949
of 	0.0029833218190148513
 de	0.0029772001121711033
ed 	0.002938746909588233
aar	0.0028145200100263583
 an	0.0027628405771177194
  r	0.002746557487064231
je 	0.0027244969652964243
h  	0.0027020990088332474
een	0.0026980947509899172
ar 	0.0026922874251603846
ing	0.0026592816290033783
 ma	0.0026503590815942046
 to	0.002636977497114652
 da	0.002629442250565365
ng 	0.002541026460669655
m  	0.002533348964824337
de 	0.002529710225292426
 wa	0.0024818656108988313
on 	0.002467032927797894
 ge	0.0024264529324682926
or 	0.002382143071942522
es 	0.002351543882537293
 ha	0.0022999870754672217
p  	0.002155533991136346
 is	0.002099827744495425
al 	0.002093737929961627
 al	0.0020530821520337045
 en	0.002003200725304995
 je	0.0020018874794708206
 va	0.001964680161107301
to 	0.0019203270965794017
ter	0.0018799754481739004
 no	0.001870224042750602
 ee	0.001864692419682871
 ni	0.0018598993221167386
 mo	0.0018519971146585283
ie 	0.0018413526980333482
ion	0.001829668479620602
as 	0.0017953971312017426
ver	0.0017882531312968246
ent	0.001776440362835228
nie	0.0017715797418166898
el 	0.0017254984089284126
 co	0.0017171265175249012
te 	0.0016895744151817658
 di	0.0016887774634553945
 wi	0.0016634188084391965
gen	0.0016589633101253283
van	0.0016544045984611476
iet	0.0016411899477679786
re 	0.0016174498874843785
oor	0.0015824325592381225
 st	0.0015760760023584438
j  	0.0015503724559520339
 op	0.001536562731642638
  u	0.0015332819529740502
 re	0.0015144469938911664
eer	0.0015078362435382944
it 	0.001505614283311368
tio	0.0014971448102894264
ij 	0.001488556158757339
nt 	0.001484814470297985
u  	0.001479911353362826
ere	0.0014628504357537243
 vo	0.0014596474086246295
hah	0.0014391070886231956
st 	0.0014205731896415497
maa	0.0014164621480960936
me 	0.0014098406643746556
het	0.001407906057864939
 le	0.001383665808251886
op 	0.0013781438948719798
ten	0.001361985552686126
der	0.0013613831953196546
aha	0.0013386425058778974
wee	0.001336798363087781
 te	0.0013354235837836576
 a 	0.001327169955296345
 ho	0.0012846528819092133
 do	0.0012763981557909045
cht	0.0012570280262474323
men	0.0012498237854178475
 pr	0.001232026852261865
nde	0.0012069454707357282
dat	0.0012008560462160658
 na	0.0011997607631983353
ati	0.0011847968365610452
 zo	0.0011847493436505962
ers	0.001179540045864936
 mi	0.0011751710322844165
all	0.001171294772960234
 on	0.0011614229921436034
ns 	0.0011609385678708736
met	0.0011469464914956717
ken	0.001146030730677641
 fo	0.0011401970909622166
aan	0.0011321337958306377
ts 	0.0011308313003710341
ht 	0.0011183325382639765
ste	0.001117441526386263
den	0.0011047623101521045
 zi	0.0010934627077712298
 ve	0.001085488467245331
 ga	0.0010782401697314065
om 	0.0010686354352319827
le 	0.0010603275461646394
ch 	0.0010385577418647854
eve	0.0010276782377718625
ijn	0.0010265090741418527
her	0.0010255163720327637
i  	0.0010238916167271935
for	0.001016068924119911
ate	0.001003611228963177
ly 	0.0009980203494732883
 hi	0.0009881435953910287
 ne	0.0009815694678407287
 wh	0.0009729765745830465
hat	0.0009720947648778692
voo	0.0009679913477052717
lle	0.0009500052809936615
ben	0.0009470245968383171
ag 	0.0009383703252134385
 li	0.0009328641538041647
est	0.0009266169456845514
 la	0.0009220618507219212
ijk	0.0009161734008599236
w  	0.0008987512517607636
rs 	0.0008967088440068944
heb	0.0008883645732859616
 wo	0.0008811771810965837
se 	0.0008728251141545522
jn 	0.0008634704180685881
dan	0.0008631604147931551
sch	0.0008611193460040387
ren	0.0008585122755116021
was	0.0008521190380607336
tha	0.0008511753127322258
 ze	0.0008486440531646241
b  	0.0008458978209603717
sta	0.0008447616403096918
ook	0.0008441910714975038
 pa	0.0008355834066429749
wel	0.0008340475054582675
 bi	0.0008336480211543757
ok 	0.0008249769050555538
die	0.0008237448750996167
ens	0.0008170603432195667
ve 	0.000814184446971785
ove	0.0008130194568761865
naa	0.000803224834213505
ls 	0.0008008040755804835
 se	0.0007943498004062864
 oo	0.0007933866916735188
ce 	0.0007901449848189994
 ja	0.0007897752429817559
ker	0.0007860829989769473
 so	0.0007838772903262237
con	0.0007805295209567107
ond	0.0007791274926249135
ou 	0.0007755907998792881
og 	0.0007735387724037365
res	0.0007735319847300868
th 	0.0007694286217082715
ee 	0.0007592278572646259
